SubTask,Instruction,molecule
QED,Optimize the molecule COCCNC(=O)N(CC[NH+](C)C)c1nc2ccc(OC(F)(F)F)cc2s1 to have a lower QED value.,COCCNC(=O)N(CC[NH+](C)C)c1nc2ccc(OC(F)(F)NO)cc2s1
LogP,Modify the molecule C[NH2+]C1(C(N)=O)CCC(N(C)CC(F)(F)F)C1 to decrease its LogP value.,C[NH2+]C1(C(N)=O)CCC(N(C)CC(F)(F)C#N)C1
MR,Modify the molecule Oc1cccc(-c2cc(-c3ccsc3)nc3c2Cc2ccccc2-3)c1 to have a higher MR value.,O=C(O)c1c(-c2ccsc2)nc2c(c1-c1cccc(O)c1)Cc1ccccc1-2
QED,Modify the molecule COc1ccc2c(c1)N(C(=O)CCCN1C(=O)c3ccccc3C1=O)CCC2O to decrease its QED value.,COc1ccc(OC)c(C2[NH2+]C(c3ccccc3)C2(C)C)c1
LogP,Optimize the molecule CCCOc1ccc(C(=O)NC2CCCCCC2O)cc1 to have a higher LogP value.,CC1(C)CC(n2c(N)nc3cc(C(=O)[OH])cnc32)CC(C)(C)C1
MR,Optimize the molecule CCC(=O)NCC(=O)C(C)C(C)=O to have a lower MR value.,CCC(=O)C(C)C(C)=O
QED,Modify the molecule COc1ccc(OC)c(C2[NH2+]CC2(C)C)c1 to increase its QED value.,COc1ccc(OC)c(C2[NH2+]C(c3ccccc3)C2(C)C)c1
LogP,Please modify the molecule CC1(C)CC(n2c(N)nc3cc(Cl)cnc32)CC(C)(C)C1 to decrease its LogP value.,COC(=O)NCC(=O)Nc1ccccc1CCC(CS)N(CC(C)C)S(=O)(=O)c1ccc2ncsc2c1
MR,Please optimize the molecule Cc1cc(C=C(C#N)C(=O)NCC2CCCO2)c(C)n1-c1ccc(N2CCCCC2)c([N+](=O)[O-])c1 to have a higher MR value.,Cc1cc(C=C(C#N)C(=O)NC(c2ccccc2)C2CCCO2)c(C)n1-c1ccc(N2CCCCC2)c([N+](=O)[O-])c1
QED,Please optimize the molecule O=S(=O)(c1ccc2c(c1)C1C=CCC1C(c1ccc(Cl)cc1Cl)N2)N1CCCC1 to have a lower QED value.,CC(=O)c1ccc(C2Nc3ccc(S(=O)(=O)N4CCCC4)cc3C3C=CCC32)c(Cl)c1
LogP,Modify the molecule COC(=O)NCC(=O)Nc1ccccc1CCC(CO)N(CC(C)C)S(=O)(=O)c1ccc2ncsc2c1 to have a higher LogP value.,COC(=O)NCC(=O)Nc1ccccc1CCC(CS)N(CC(C)C)S(=O)(=O)c1ccc2ncsc2c1
MR,Optimize the molecule Cc1ccc(F)cc1CN(Cc1ccccn1)S(C)(=O)=O to have a higher MR value.,Cc1ccc(O)cc1CN(Cc1ccccn1)S(C)(=O)=O
QED,Modify the molecule CCOC(=O)c1ccc(NC(=O)Nc2cc(C(F)(F)F)ccc2Cl)cc1 to increase its QED value.,CCOC(=O)NC(=O)Nc1cc(C(F)(F)F)ccc1Cl
LogP,Optimize the molecule N#CCCC(C#N)Cn1nc(-c2ccccc2)cc(C(F)(F)F)c1=O to have a lower LogP value.,Cc1nc(-c2ncn[nH]2)sc1C(=O)N1CCCC(C(O)(F)F)C1
MR,Modify the molecule CC(=O)Nc1ccc(Cl)c(Cl)c1C(=O)N(CCc1cccc(C(F)(F)F)c1)Cc1ccc(C2CC2)cc1 to decrease its MR value.,COCC(C)Nc1cccc(OCF)c1
QED,Optimize the molecule COc1ccc(OC)c(-c2csc(NC(=O)c3cccnc3Sc3ccccc3)n2)c1 to have a higher QED value.,CC(CCC(C)(C)c1ccccc1)[NH2+]CCSCc1ccccc1
LogP,Please optimize the molecule Cc1nc(-c2ncn[nH]2)sc1C(=O)N1CCCC(C(F)(F)F)C1 to have a lower LogP value.,CCOC(=O)C(CC(C)=O)[P+]([O-])(OCC)OCC
MR,Please optimize the molecule COCC(C)Nc1cccc(OC(F)F)c1 to have a lower MR value.,COCC(C)Nc1cccc(OCF)c1
QED,Please optimize the molecule CC(C)CCC(C)[NH2+]CCSCc1ccccc1 to have a lower QED value.,CC(CCC(C)(C)c1ccccc1)[NH2+]CCSCc1ccccc1
LogP,Modify the molecule CCOC(=O)C(CC(=O)Cc1ccccc1)[P+]([O-])(OCC)OCC to decrease its LogP value.,CCOC(=O)C(CC(C)=O)[P+]([O-])(OCC)OCC
MR,Please modify the molecule O=C(CCN1C(=O)NC2(CCCCC2)C1=O)NCc1ccc(F)cc1 to decrease its MR value.,O=C(CCC(=O)NC1CCCC1)NCc1ccc(F)cc1
QED,Modify the molecule C[NH+](CCc1ccccc1C(=O)[O-])Cc1ccc2c(c1)OCCO2 to have a lower QED value.,C[NH+](CCC(=O)[O-])Cc1ccc2c(c1)OCCO2
LogP,Modify the molecule Cc1ccc2nc(-c3ccc(NC(=S)NCc4cccc(Br)c4)cc3)sc2c1 to have a lower LogP value.,Cc1ccc2nc(-c3ccc(NC(=S)NCc4ccccc4)cc3)sc2c1
MR,Please optimize the molecule COc1cc(CC(=O)NCC(c2cccs2)[NH+]2CCC(C)CC2)ccc1C to have a lower MR value.,O=[N+]([O-])c1ccc(CC(Sc2nnc3c(Cl)cc(C(F)(F)F)cn23)c2ccccc2)cc1
QED,Please modify the molecule Cc1cccc(Cn2cnnc2CO)c1 to decrease its QED value.,CC1(C)CN(S(=O)(=O)c2cccc3c2CCC3)CCO1
LogP,Please optimize the molecule c1ccc(P(c2ccccc2)c2cccc3c2-c2c(cccc2P(c2ccccc2)c2ccccc2)-c2ccccc2-c2ccccc2-3)cc1 to have a lower LogP value.,c1ccc(Pc2cccc3c2-c2c(cccc2P(c2ccccc2)c2ccccc2)-c2ccccc2-c2ccccc2-3)cc1
MR,Optimize the molecule O=[N+]([O-])c1ccc(CCSc2nnc3c(Cl)cc(C(F)(F)F)cn23)cc1 to have a higher MR value.,C[NH+]=C(NCCCn1cnc2cccc(N)c21)NCc1ccnn1C
QED,Please optimize the molecule CC1(C)CN(S(=O)(=O)c2cccc3c2CCCN3)CCO1 to have a lower QED value.,CC[NH2+]Cc1cn[nH]c1S(=O)(=O)CCOCC(C)C
LogP,Modify the molecule CCOc1cc(C=Nn2c(=O)[nH]c3ccccc3c2=O)cc(Cl)c1OCC(=O)Nc1ccccc1 to have a lower LogP value.,CCOc1cc(C=Nn2c(=O)[nH]c3ccccc3c2=O)cc(S)c1OCC(=O)Nc1ccccc1
MR,Please modify the molecule C[NH+]=C(NCCCn1cnc2ccccc21)NCc1ccnn1C to increase its MR value.,C[NH+]=C(NCCCn1cnc2cccc(N)c21)NCc1ccnn1C
QED,Optimize the molecule CC[NH2+]Cc1cn[nH]c1S(=O)(=O)NCCOCC(C)C to have a higher QED value.,CCC(COC)NC(=O)C(O)CC(CC[NH3+])C(C)C
LogP,Optimize the molecule CC[NH2+]C(Cc1cccc(F)c1)c1cc(C)c(F)c(C)c1 to have a lower LogP value.,Cc1cc(C(Cc2cccc(F)c2)[NH2+]C(C)CC=O)cc(C)c1F
MR,Modify the molecule O=C(CSc1c2c(nc3ccc(Cl)cc13)CCCC2)NCC1CCCO1 to increase its MR value.,O=C(CSc1c2c(nc3ccc(Cl)cc13)CCC(O)C2)NCC1CCCO1
QED,Modify the molecule CCC(COC)NC(=O)CCC(CC[NH3+])C(C)C to have a lower QED value.,CCC(COC)NC(=O)C(O)CC(CC[NH3+])C(C)C
LogP,Modify the molecule Cn1ncc2c1CCCC2NC(=O)N1CCC(O)C12CCCC2 to decrease its LogP value.,Cn1ncc2c1CCCC2NC(=O)N1CCC(NO)C12CCCC2
MR,Please modify the molecule CC(C)COC(C)c1noc(-c2ccc(-c3noc(C(F)(F)F)n3)cc2)n1 to decrease its MR value.,CC(NC(=O)c1ccc(SC(F)F)cc1)c1cccs1
QED,Please modify the molecule CCC(C)CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCC(C)C)COP(=O)([O-])OCC(O)COP(=O)([O-])OCC(COC(=O)CCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCC(C)C to decrease its QED value.,CCC(C)CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCC(C)C)COP(=O)([O-])OCCCOP(=O)([O-])OCC(COC(=O)CCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCC(C)C
LogP,Please modify the molecule N#CC1CC=CCC1NC(=O)c1ccc([N+](=O)[O-])cc1 to increase its LogP value.,CC(=O)C1CC=CCC1NC(=O)c1ccc([N+](=O)[O-])cc1
MR,Optimize the molecule CC(NC(=O)c1ccc(SC(F)(F)F)cc1)c1cccs1 to have a lower MR value.,CC(NC(=O)c1ccc(SC(F)F)cc1)c1cccs1
QED,Modify the molecule COc1ccc(NC(=O)c2cc(Nc3cccc(F)c3)ncn2)cc1 to decrease its QED value.,CC(=O)c1cccc(Nc2cc(C(=O)Nc3ccc(OC)cc3)ncn2)c1
LogP,Please modify the molecule COc1cccc(CN(C(=O)CSc2ccc(Cl)cc2)C(C)C(=O)NCC(C)C)c1 to decrease its LogP value.,COc1cccc(CN(C(=O)CSc2ccccc2)C(C)C(=O)NCC(C)C)c1
MR,Modify the molecule [NH3+]C(CO)c1cc(F)ccc1OC1CC1 to have a higher MR value.,[NH3+]C(CO)c1cc(F)cc(C(=O)O)c1OC1CC1
QED,Modify the molecule Cc1c(CNNC(=O)OC(C)(C)C)sc2c1c(=O)n(C1(C)CC1)c(=O)n2CCOC(F)(F)F to decrease its QED value.,CC(N)OCC(C(C)C)n1cncc1C1C[NH2+]C1
LogP,Optimize the molecule Cn1nc(C(=O)c2ccccc2)sc1=Nc1ccccc1 to have a lower LogP value.,Cn1nc(C=O)sc1=Nc1ccccc1
MR,Optimize the molecule O=C(c1ccc(F)cc1F)N1CCC(n2cnnc2-c2ccccc2)C1 to have a higher MR value.,O=C(c1ccc(S)cc1F)N1CCC(n2cnnc2-c2ccccc2)C1
QED,Modify the molecule CCOCC(C(C)C)n1cncc1C1C[NH2+]C1 to decrease its QED value.,CC(N)OCC(C(C)C)n1cncc1C1C[NH2+]C1
LogP,Modify the molecule O=C(Nc1ccc(F)c(F)c1)c1cc(C(=O)N2CCOCC2)ccn1 to increase its LogP value.,O=C(Nc1ccc(S)c(F)c1)c1cc(C(=O)N2CCOCC2)ccn1
MR,Please modify the molecule CCOc1ccc(-c2cc(-c3ccc(CC)cc3)[nH]c(=O)c2C#N)cc1 to increase its MR value.,CC(=O)c1c(-c2ccc(OCC)cc2)cc(-c2ccc(CC)cc2)[nH]c1=O
QED,Modify the molecule Nc1ccc(N)c(-c2ccc(C(F)(F)F)nc2)c1 to have a higher QED value.,Nc1ccc(N)c(-c2ccc(C(F)F)nc2)c1
LogP,Modify the molecule CC1CCCN(C(=O)C2CC2c2ccccc2F)C1 to have a higher LogP value.,CC1CCCC2(c3ccccc3F)CC12
MR,Please modify the molecule CCN(CC)N=Nc1ccc(C(F)(F)F)cc1I to increase its MR value.,CC(=O)C(F)(F)c1ccc(N=NN(CC)CC)c(I)c1
QED,Please modify the molecule C[NH+](CC(=O)Nc1nccs1)Cc1ccc(OC(F)F)cc1 to decrease its QED value.,C[NH+](CC(=O)Nc1nccs1)Cc1ccc(OCF)cc1
LogP,Please optimize the molecule CC(=CCO)CCC=C(C)COCc1cccc(C(=O)c2ccccc2)c1 to have a higher LogP value.,CC(=CCC(C(C)=CCO)c1ccccc1)COCc1cccc(C(=O)c2ccccc2)c1
MR,Please modify the molecule Cc1nonc1NC(=O)C[NH+]1CCN(C)CC1 to decrease its MR value.,CC(C([NH3+])C1CC1)N1CCOC(C)(C)C1
QED,Please optimize the molecule CC1C(=O)N(c2ccc(OC(F)(F)F)cc2)C(=O)N1Cc1ccncc1Nc1ccccc1 to have a lower QED value.,CC(=O)C(NC(=O)c1cc(N)cc(F)c1Cl)c1ccccc1
LogP,Modify the molecule CNc1nnc(SC(C)C(=O)NC(C)C)s1 to have a higher LogP value.,CC(C)NC(=O)C(C)Sc1nnc(NCc2ccccc2)s1
MR,Please optimize the molecule CC1(C)CN(C(CO)C([NH3+])C2CC2)CCO1 to have a lower MR value.,CC(C([NH3+])C1CC1)N1CCOC(C)(C)C1
QED,Optimize the molecule CC(=O)CNC(=O)c1cc(N)cc(F)c1Cl to have a higher QED value.,FC(F)CCCN1CCC[NH2+]C2(CCCCC2)C1
LogP,Please modify the molecule CC1(C)C2CN(C(=O)NCCc3cccc(O)c3)CC21 to increase its LogP value.,CC1(C)C2CN(C(=O)NCCc3cccc(NO)c3)CC21
MR,Modify the molecule COc1c(C)ccc(C(C)CCB2OC(C)(C)C(C)(C)O2)c1OC to have a higher MR value.,COc1cc(C2C(c3cccc(OC)c3OC)=CC(=O)N2c2ccc(C(C)=O)cc2)ccc1OCC(C)C
QED,Modify the molecule FC(F)(F)CCCN1CCC[NH2+]C2(CCCCC2)C1 to decrease its QED value.,Cc1cc2[nH+]cc(-c3ccccc3)n2cc1-c1ccc(C(=O)N2CCC(C)(NC(=O)OC(C)(C)C)C(C)C2)cc1
LogP,Please optimize the molecule O=C(NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)N(Cc1cncs1)C(=O)[O-])OCc1cncs1 to have a higher LogP value.,CC(=O)C(CC(Cc1ccccc1)N(Cc1cncs1)C(=O)[O-])C(Cc1ccccc1)NC(=O)OCc1cncs1
MR,Please modify the molecule COc1cc(C2C(c3cccc(OC)c3OC)=C(O)C(=O)N2c2ccc(C(C)=O)cc2)ccc1OCC(C)C to decrease its MR value.,COc1cc(C2C(c3cccc(OC)c3OC)=CC(=O)N2c2ccc(C(C)=O)cc2)ccc1OCC(C)C
QED,Modify the molecule Cc1cc2[nH+]cc(-c3ccc(C#N)cc3)n2cc1-c1ccc(C(=O)N2CCC(C)(NC(=O)OC(C)(C)C)C(C)C2)cc1 to increase its QED value.,Cc1cc2[nH+]cc(-c3ccccc3)n2cc1-c1ccc(C(=O)N2CCC(C)(NC(=O)OC(C)(C)C)C(C)C2)cc1
LogP,Please optimize the molecule COc1ccc2c(c1NC(=O)N(CCO)C1CCSCC1)CCC2 to have a higher LogP value.,COc1ccc2c(c1NC(=O)N(CCO)C1(c3ccccc3)CCSCC1)CCC2
MR,Please modify the molecule Cc1ccc(N=NC2(C(N)=O)CCCc3cc4c(nc32)CCCC4)cc1 to increase its MR value.,NC(=O)C1(N=Nc2ccc(CO)cc2)CCCc2cc3c(nc21)CCCC3
QED,Please optimize the molecule CC(=O)CSc1nnc(-c2ccc(Cl)cc2)n1Cc1ccccc1 to have a lower QED value.,CC(=O)CSc1nnc(-c2ccc(Cl)c(C(=O)O)c2)n1Cc1ccccc1
LogP,Optimize the molecule CC[NH+]1CCN(c2ccc(NC(=O)c3cccc4c3OC(C)C4C)cc2)CC1 to have a lower LogP value.,CCn1c(C)nc(-c2ccc(S)c(Cl)c2)c1N
MR,Modify the molecule Cc1ccc(Cl)cc1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(CC[NH+]2CC(CF)C2)cc1 to increase its MR value.,Cc1ccc(C(=O)[OH])cc1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(CC[NH+]2CC(CF)C2)cc1
QED,Modify the molecule O=C(OCc1cccc(Cl)c1)C(C(=O)OCc1cccc(Cl)c1)=c1ccc(=C(C(=O)OCc2cccc(Cl)c2)C(=O)OCc2cccc(Cl)c2)cc1 to have a higher QED value.,O=C(OCc1cccc(O)c1)C(C(=O)OCc1cccc(Cl)c1)=c1ccc(=C(C(=O)OCc2cccc(Cl)c2)C(=O)OCc2cccc(Cl)c2)cc1
LogP,Optimize the molecule CCn1c(C)nc(-c2ccc(Br)c(Cl)c2)c1N to have a lower LogP value.,CCn1c(C)nc(-c2ccc(S)c(Cl)c2)c1N
MR,Please optimize the molecule CN(c1cc(F)cc(CC(=O)c2c(F)cc(F)cc2F)c1)C1CC[NH+](C)CC1 to have a higher MR value.,Cc1cc(CC(C)(Cl)c2cccnc2)c2[nH]c3c(c2c1)C1CCC[NH+]1CC3
QED,Please modify the molecule O=[N+]([O-])c1ccc(N2CC[NH2+]CC2)cc1NCc1ccccn1 to decrease its QED value.,O=[N+]([O-])c1c(NCc2ccccn2)cc(N2CC[NH2+]CC2)cc1-c1ccccc1
LogP,Please modify the molecule CNc1cncc(-c2ccco2)n1 to decrease its LogP value.,CCOP(=O)(CCC(=O)[OH])Oc1ccc(Cl)cc1
MR,Modify the molecule Cc1cc(CC(C)(O)c2cccnc2)c2[nH]c3c(c2c1)C1CCC[NH+]1CC3 to increase its MR value.,CSc1ccc(CCN)cc1O
QED,Optimize the molecule Cc1cn2c(CC(=O)Nc3scc(Br)c3-c3ncn[nH]3)csc2[nH+]1 to have a lower QED value.,CC[NH+]1CCC(CCNc2ncnc3oc(-c4ccc(OCC[NH+](C)C)cc4)c(-c4cccc(O)c4)c23)CC1
LogP,Modify the molecule CCOP(=O)(CCBr)Oc1ccc(Cl)cc1 to have a lower LogP value.,CCOP(=O)(CCC(=O)[OH])Oc1ccc(Cl)cc1
MR,Modify the molecule CSc1ccc(CC(N)C#N)cc1O to have a lower MR value.,CSc1ccc(CCN)cc1O
QED,Please modify the molecule CC[NH+]1CCC(CCNc2ncnc3oc(-c4ccc(OCC[NH+](C)C)cc4)c(-c4ccccc4)c23)CC1 to decrease its QED value.,CC[NH+]1CCC(CCNc2ncnc3oc(-c4ccc(OCC[NH+](C)C)cc4)c(-c4cccc(O)c4)c23)CC1
LogP,Modify the molecule O=c1c2sccc2n(Cc2ccc(F)cc2)c(=O)n1-c1ccc(F)c(Cl)c1 to decrease its LogP value.,O=c1c2sccc2n(CF)c(=O)n1-c1ccc(F)c(Cl)c1
MR,Modify the molecule CCCOCCOC(=O)CS(=O)(=O)CC#N to have a lower MR value.,CCCOCCOC(=O)CS(C)(=O)=O
QED,Modify the molecule CNC(=O)C[NH+]1CCN(C(=O)Cn2cc(Br)ccc2=O)CC1 to decrease its QED value.,CNC(=O)C[NH+]1CCN(C(=O)Cn2ccccc2=O)CC1
LogP,Modify the molecule O=C1NC(CCC(=O)N2CCSCC2)C(=O)Nc2ccccc21 to have a lower LogP value.,Cn1c(=O)n2n(c1=O)C1CC3C(=O)N(Nc4ncc(C(F)(F)F)cc4Cl)C(=O)C3(c3ccc(Cl)cc3)C(c3ccccc3Cl)C1=CC2
MR,Please optimize the molecule COc1ccc(Br)cc1C1CCCN1C(=O)c1coc(C[NH3+])c1 to have a lower MR value.,COc1ccc(C(=O)[OH])cc1C1CCCN1C(=O)c1coc(C[NH3+])c1
QED,Optimize the molecule CCC(=O)OCC12CCCC(C)=C1CCC1C2CCC2(C)C(OC(=O)CC)CCC12 to have a higher QED value.,CC(C)CC([NH3+])c1cccs1
LogP,Please optimize the molecule Cn1c(=O)n2n(c1=O)C1CC3C(=O)N(Nc4ncc(C(F)(F)F)cc4Cl)C(=O)C3(c3ccc(Cl)cc3)C(c3ccc(O)cc3Cl)C1=CC2 to have a higher LogP value.,CC(C)NC(=O)c1cccc(NC(=O)CCC(=O)OCCc2ccc(C#N)cc2)c1
MR,Please modify the molecule CCc1ccc(C(=O)COC(=O)c2c(C)c(-c3ccccc3)nc3ccccc23)cc1 to increase its MR value.,CCc1ccc(C(=O)COC(=O)c2c(C)c(-c3ccccc3)nc3ccccc23)c(-c2ccccc2)c1
QED,Please modify the molecule CC(C)CC([NH3+])c1sccc1Br to decrease its QED value.,CC(C)CC([NH3+])c1cccs1
LogP,Optimize the molecule CC(C)NC(=O)c1cccc(NC(=O)CCC(=O)OCCc2ccccc2)c1 to have a lower LogP value.,CC(C)NC(=O)c1cccc(NC(=O)CCC(=O)OCCc2ccc(C#N)cc2)c1
MR,Modify the molecule C=C(C)c1ccc(NC(=O)N2C3=C(C=CC(C(=O)NCC(F)(F)F)[NH2+]3)[NH+]3CCC2C3)nc1 to have a higher MR value.,C=C(CC(=O)O)c1ccc(NC(=O)N2C3=C(C=CC(C(=O)NCC(F)(F)F)[NH2+]3)[NH+]3CCC2C3)nc1
QED,Please optimize the molecule CCC1OC2(C)C(O)C(C=CC=CC=Cc3oc(=O)cc(OC)c3C)OC1(C)C2O to have a higher QED value.,O=C(COc1ccc(F)cc1)Nc1ccccc1-c1nc(-c2ccccc2)no1
LogP,Optimize the molecule COC1C(O)C(C)=CC23OC2(CC(C)C3O)C(=O)C(C)C(O)C2C1C2(C)C to have a higher LogP value.,COC1C(O)C(C)=CC23CC(C)CC2(O3)C(=O)C(C)C(O)C2C1C2(C)C
MR,Please optimize the molecule O=C1NCCC1CC(c1ccc(F)cc1)N1CCC(c2ccc(O)cc2)C(F)(F)C1 to have a higher MR value.,CC(=NNC(=O)c1ccc(F)cc1)NS(=O)(=O)c1ccc(C)cc1
QED,Modify the molecule O=C(COc1ccc(F)cc1)Nc1ccccc1-c1nc(-c2ccc(F)cc2)no1 to have a higher QED value.,Cc1noc(-c2ccc(-c3ccc(C(C)(C)C(=O)[O-])cc3)cc2)c1NC(=O)OCCc1ccc(C(=O)O)cc1Cl
LogP,Modify the molecule CCOc1c(Cl)cc(C(=O)NCC(c2ccccc2)[NH+]2CCCC2)cc1OC to decrease its LogP value.,CCOc1c(Cl)cc(C(=O)NC(O)C(c2ccccc2)[NH+]2CCCC2)cc1OC
MR,Please optimize the molecule CC(=NNC(=O)c1ccc(F)cc1)c1ccc(NS(=O)(=O)c2ccc(C)cc2)cc1 to have a lower MR value.,CC(=NNC(=O)c1ccc(F)cc1)NS(=O)(=O)c1ccc(C)cc1
QED,Please modify the molecule Cc1noc(-c2ccc(-c3ccc(C(C)(C)C(=O)[O-])cc3)cc2)c1NC(=O)OCCc1ccccc1Cl to decrease its QED value.,Cc1noc(-c2ccc(-c3ccc(C(C)(C)C(=O)[O-])cc3)cc2)c1NC(=O)OCCc1ccc(C(=O)O)cc1Cl
LogP,Please modify the molecule CC1C(=O)C(c2ccc(F)cc2)C(=[NH2+])N1c1ccccc1 to decrease its LogP value.,CC1C(=O)C(c2ccc(NO)cc2)C(=[NH2+])N1c1ccccc1
MR,Optimize the molecule O=C1SC(=Cc2ccc(OCc3ccc4ccccc4c3)cc2)C(=O)N1c1ccccc1 to have a higher MR value.,O=C(O)c1ccc2cc(COc3ccc(C=C4SC(=O)N(c5ccccc5)C4=O)cc3)ccc2c1
QED,Optimize the molecule COc1ccc(CCNC(=O)c2ccc(Cn3c(=S)[nH]c4ccc(Br)cc4c3=O)cc2)cc1OC to have a lower QED value.,COc1ccc(CCNC(=O)c2ccc(Cn3c(=S)[nH]c4ccc(S)cc4c3=O)cc2)cc1OC
LogP,Please optimize the molecule CCN(CC)c1ccc2c(c1)OC1=CC(=N)C3C=CC(I)=CC3C1=N2 to have a lower LogP value.,CCN(CCO)c1ccc2c(c1)OC1=CC(=N)C3C=CC(I)=CC3C1=N2
MR,Please modify the molecule C=C(C)Cn1c(=S)[nH]c2c(OCC)cccc21 to increase its MR value.,C=C(C)Cn1c(=S)[nH]c2c(OCCO)cccc21
QED,Optimize the molecule COc1ccc2c(c1)C(C(C#N)=C(C)c1cccnc1)=CC2 to have a higher QED value.,COc1ccc2c(c1)C(C(S)=C(C)c1cccnc1)=CC2
LogP,Optimize the molecule CCOC(=O)C1=C(CSCC[NH3+])N=C(C)C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1 to have a lower LogP value.,CCOC(=O)C1=C(CSCC[NH3+])N=C(C)C(C(=O)OC(C)C)C1c1cccc([SH]=O)c1
MR,Please modify the molecule C[NH+](C)Cc1cc(-c2ccc(-c3nnc(CSCCOc4ccccc4)o3)cc2)no1 to increase its MR value.,C[NH+](C)Cc1cc(-c2ccc(-c3nnc(CSCCOc4ccccc4)o3)c(N)c2)no1
QED,Optimize the molecule CN(C(N)=[NH+]CCc1cnc2c(Cl)cnn2c1)C1CC1 to have a lower QED value.,CN(C(N)=[NH+]CCc1cnc2c(O)cnn2c1)C1CC1
LogP,Optimize the molecule Cc1ccccc1C1C(=O)NC(=O)CC12CCCC2(C)C to have a lower LogP value.,CC1C(=O)NC(=O)CC12CCCC2(C)C
MR,Optimize the molecule [NH3+]C(CC(F)c1cccc(Cl)c1)C(=O)[O-] to have a higher MR value.,CN(CCO)S(=O)(=O)c1ccc2c(c1)C(=O)c1c-2ccc(S(=O)(=O)N(C)CCO)c1C(=O)O
QED,Modify the molecule Cn1c(SCc2ccc(Cl)c(Cl)c2)nnc1-c1ccccc1F to decrease its QED value.,Cn1c(SCc2ccc(NO)c(Cl)c2)nnc1-c1ccccc1F
LogP,Please modify the molecule C[NH+]=C(NCCOc1ccccc1)NCC1CCC[NH+](C(C)C)C1 to decrease its LogP value.,CN(CCS)C(=O)NCCOc1ccccc1Cl
MR,Optimize the molecule CN(CCO)S(=O)(=O)c1ccc2c(c1)C(=O)c1cc(S(=O)(=O)N(C)CCO)ccc1-2 to have a higher MR value.,CN(CCO)S(=O)(=O)c1ccc2c(c1)C(=O)c1c-2ccc(S(=O)(=O)N(C)CCO)c1C(=O)O
QED,Please optimize the molecule Cc1ccc(S(=O)(=O)NC2CC[NH+](C)C2c2ccc(Cl)cc2)cn1 to have a lower QED value.,Cc1ccc(S(=O)(=O)NC2CC[NH+](C)C2c2ccc(S)cc2)cn1
LogP,Optimize the molecule CN(CCO)C(=O)NCCOc1ccccc1Cl to have a higher LogP value.,CN(CCS)C(=O)NCCOc1ccccc1Cl
MR,Modify the molecule CCn1c2ccc(C(C)(C)C)cc2c2cc(C(C)(C)C)cc(C#Cc3cc(C(C)(C)C)cc4c5cc(C(C)(C)C)ccc5n(CC)c34)c21 to have a higher MR value.,CCn1c2ccc(C(C)(C)C)cc2c2cc(C(C)(C)C)cc(C#Cc3cc(C(C)(C)C)cc4c5cc(C(C)(C)C)ccc5n(C(C)c5ccccc5)c34)c21
QED,Please optimize the molecule CCC(C1CCCCC1)n1cc(C(C)=O)cc1C(=O)[O-] to have a lower QED value.,CC[NH+](CC)CCNC(C#N)c1ccc(S)c(Cl)c1
LogP,Please optimize the molecule COC(=O)C(C)([NH3+])CCCN(C)c1cccc(C)c1 to have a lower LogP value.,COCCNC(=O)Cn1c(CO)c[nH+]c1SCC(=O)Nc1c(F)cccc1-c1ccccc1
MR,Please modify the molecule CCC1CCC(C[NH3+])(C2(O)CCC2)CC1 to increase its MR value.,CCC1CCC(C[NH3+])(C2(S)CCC2)CC1
QED,Modify the molecule CC[NH+](CC)CCNC(C#N)c1ccc(Br)c(Cl)c1 to have a lower QED value.,CC[NH+](CC)CCNC(C#N)c1ccc(S)c(Cl)c1
LogP,Please optimize the molecule COCCNC(=O)Cn1c(CO)c[nH+]c1SCC(=O)Nc1ccccc1F to have a higher LogP value.,COCCNC(=O)Cn1c(CO)c[nH+]c1SCC(=O)Nc1c(F)cccc1-c1ccccc1
MR,Please optimize the molecule CC1([NH+]2CCN(S(=O)(=O)c3ccc(C#N)cc3Cl)CC2)CC1 to have a lower MR value.,CCC(COc1c[nH]c(CNC(=O)CCC(=O)[O-])cc1=O)c1ccccc1
QED,Modify the molecule CC(C)(C)c1ccc(C(C)(C)N(C2=CCC(N(c3ccc4ccccc4c3)c3cccc4ccccc34)C=C2)c2ccc3ccccc3c2)cc1 to increase its QED value.,CC(C)(C)C(C)(C)N(C1=CCC(N(c2ccc3ccccc3c2)c2cccc3ccccc23)C=C1)c1ccc2ccccc2c1
LogP,Please optimize the molecule O=C(CNC(=O)c1ccco1)NNC(=O)c1ccc(CSc2ccc(Cl)cc2)cc1 to have a lower LogP value.,CC(C)Oc1ccc(-c2nc(-c3cccc4c3CCC4NC(=O)N3CCC(CC(=O)[O-])CC3)no2)cc1
