SubTask,Instruction,molecule
QED,Please optimize the molecule N#Cc1ccc(C[NH2+]CCc2ccccn2)cc1 to have a lower QED value.,CC(=O)N1CCc2nc(N3CCN(c4ccc(C)cc4)CC3)nc(N(C)C)c2C1
LogP,Modify the molecule [NH3+]CC1CC(F)CN1Cc1csnn1 to have a higher LogP value.,[NH3+]CC1CCCN1Cc1csnn1
MR,Optimize the molecule COc1ccc(OCC(=O)NC(=O)c2ccc(OC(F)F)cc2)c([N+](=O)[O-])c1 to have a higher MR value.,Cc1cc(C(=O)Nc2ccc(N)c(Cl)c2)c2nc3n(c2n1)CCCCC3
QED,Please modify the molecule Cc1ccc(N2CCN(c3nc4c(c(N(C)C)n3)CN(C(=O)c3cccc(C)c3)CC4)CC2)cc1 to increase its QED value.,CC(=O)N1CCc2nc(N3CCN(c4ccc(C)cc4)CC3)nc(N(C)C)c2C1
LogP,Optimize the molecule O=C(COC(=O)CC(c1ccccc1)c1ccccc1)Nc1ccccc1Cl to have a lower LogP value.,O=C(COC(=O)CCc1ccccc1)Nc1ccccc1Cl
MR,Please modify the molecule Cc1cc(C(=O)Nc2cc(Cl)c(N)c(Cl)c2)c2nc3n(c2n1)CCCCC3 to decrease its MR value.,O=C(COc1ccc(Oc2ccccc2)cc1O)NNC(=O)Cc1c[nH]c2ccccc12
QED,Please modify the molecule CC1C=CCC2C(=O)N(c3cccc(OC(=O)C4CC(=O)N(c5ccc(F)cc5)C4)c3)C(=O)C12 to increase its QED value.,CC(Cn1cnc(N)c2ncnc1-2)OC(O)P(=O)([O-])[O-]
LogP,Please modify the molecule CC(NC(=O)C(C)N(c1ccccc1F)S(C)(=O)=O)c1ccccc1 to decrease its LogP value.,CC(C(=O)NC(C)(CC=O)c1ccccc1)N(c1ccccc1F)S(C)(=O)=O
MR,Modify the molecule O=C(COc1ccc(Oc2ccccc2)cc1)NNC(=O)Cc1c[nH]c2ccccc12 to increase its MR value.,O=C(COc1ccc(Oc2ccccc2)cc1O)NNC(=O)Cc1c[nH]c2ccccc12
QED,Modify the molecule CC(Cn1cnc(N)c2ncnc1-2)OC(F)P(=O)([O-])[O-] to have a lower QED value.,C[NH2+]CCc1nc(C(C)CN2CC[NH2+]CC2)sc1C(=O)O
LogP,Please modify the molecule COc1cc(C=NN)ccc1OCc1ccccc1Cl to decrease its LogP value.,CCCC(C)C[NH2+]C1CCCC1
MR,Please modify the molecule CC1(C)CCC(C[NH+]2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(OCC5(F)CCOCC5)c(Cl)c4)c(-n4[nH]cc5nc6nccc6cc54)c3)CC2)=C(c2ccc(Cl)cc2)C1 to increase its MR value.,CC1(C)CCC(C[NH+]2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(OCC5(C(=O)[OH])CCOCC5)c(Cl)c4)c(-n4[nH]cc5nc6nccc6cc54)c3)CC2)=C(c2ccc(Cl)cc2)C1
QED,Please modify the molecule C[NH2+]CCc1csc(C(C)CN2CC[NH2+]CC2)n1 to decrease its QED value.,C[NH2+]CCc1nc(C(C)CN2CC[NH2+]CC2)sc1C(=O)O
LogP,Modify the molecule Cc1cc(C)c(C)c(CC[NH2+]C2CCCC2)c1C to decrease its LogP value.,CCCC(C)C[NH2+]C1CCCC1
MR,Modify the molecule CCC(CCCc1ccc(Cl)cc1F)[NH2+]C to increase its MR value.,Cc1ccc(-n2c([O-])c(C3OC(=O)c4ccccc43)c(=O)[nH]c2=O)cc1S
QED,Please optimize the molecule CSc1ccc(Cl)c(C(=O)Nc2ccc([N+](=O)[O-])cc2)c1 to have a lower QED value.,[NH3+]Cc1cncc(N2CCCC(CCCc3ccccc3)CC2)n1
LogP,Please modify the molecule CCn1c2c(c(=O)n(CC)c1=O)C(c1ccccc1)NC(=O)N2 to decrease its LogP value.,CCn1c2c(c(=O)n(CC)c1=O)CNC(=O)N2
MR,Modify the molecule Cc1ccc(-n2c([O-])c(C3OC(=O)c4ccccc43)c(=O)[nH]c2=O)cc1 to increase its MR value.,Cc1ccc(-n2c([O-])c(C3OC(=O)c4ccccc43)c(=O)[nH]c2=O)cc1S
QED,Modify the molecule CCCC1CCCN(c2cncc(C[NH3+])n2)CC1 to increase its QED value.,O=C(COc1ccc(Cl)cc1Cl)NN=C1CCCc2oc(C(=O)N3CCCc4ccccc43)c(Cc3ccccc3)c21
LogP,Optimize the molecule Cc1cc(NC(=O)c2ccccc2F)ccc1NC(=O)C[NH+]1CCOCC1 to have a lower LogP value.,Cc1cc(NC(=O)c2ccccc2C(=O)[OH])ccc1NC(=O)C[NH+]1CCOCC1
MR,Optimize the molecule CC1C([Si](C)(C)F)C(CC(=O)N(CCO)Cc2ccccc2)OC12C(=O)N(Cc1ccccc1)c1ccc(NC(=O)C3CCC[NH2+]3)cc12 to have a lower MR value.,CC1C([Si](C)C)C(CC(=O)N(CCO)Cc2ccccc2)OC12C(=O)N(Cc1ccccc1)c1ccc(NC(=O)C3CCC[NH2+]3)cc12
QED,Optimize the molecule Cc1c(C(=O)N2CCCc3ccccc32)oc2c1C(=NNC(=O)COc1ccc(Cl)cc1Cl)CCC2 to have a lower QED value.,O=C(COc1ccc(Cl)cc1Cl)NN=C1CCCc2oc(C(=O)N3CCCc4ccccc43)c(Cc3ccccc3)c21
LogP,Optimize the molecule CCC(C)CC(C)Nc1ccc(N)nc1 to have a higher LogP value.,CCC(C)CC(C)c1ccc(N)nc1
MR,Modify the molecule CCOCc1nc(N)cc(N(CC)c2ccc(F)cc2)n1 to increase its MR value.,CCOCc1nc(N)cc(N(CC)c2ccccc2)n1
QED,Modify the molecule COc1cc(C=C2SC(=[NH+]c3ccc(C)cc3)N(CC(C)C)C2=O)cc(Br)c1OCc1ccc(Br)cc1 to have a lower QED value.,COc1cc(C=C2SC(c3ccc(C)cc3)N(CC(C)C)C2=O)cc(Br)c1OCc1ccc(Br)cc1
LogP,Please optimize the molecule CCn1c2ccccc2c2cc(CN(C)C(=O)C3CCN(S(C)(=O)=O)CC3)ccc21 to have a higher LogP value.,CCn1c2ccccc2c2cc(C(C)C3CCN(S(C)(=O)=O)C3)ccc21
MR,Modify the molecule COc1cccc(Cl)c1C[NH+]1C2CCCC1CC([NH3+])C2 to have a higher MR value.,Cc1c(NC(=O)C[NH+]2CCC(C(=O)Nc3cccc(C(=O)NCC(C)C)c3)CC2)cccc1C(=O)Nc1ccccc1
QED,Please optimize the molecule CCN(CCCNc1ncnc(Cl)c1Br)S(C)(=O)=O to have a higher QED value.,COc1cc(-c2nc3ccccc3c(=O)n2NCCl)ccc1Cl
LogP,Modify the molecule C=CC(=O)Oc1c(F)cccc1F to have a lower LogP value.,O=C(O)C=CC(=O)Oc1c(F)cccc1F
MR,Optimize the molecule Cc1c(NC(=O)C[NH+]2CCC(C(=O)Nc3cccc(C(=O)NCC(C)C)c3)CC2)cccc1C(=O)Nc1ccccc1F to have a higher MR value.,Cc1c(NC(=O)C[NH+]2CCC(C(=O)Nc3cccc(C(=O)NCC(C)C)c3)CC2)cccc1C(=O)Nc1ccccc1
QED,Modify the molecule COc1cc(-c2nc3ccccc3c(=O)n2NCc2ccc(Cl)cc2)ccc1Cl to increase its QED value.,CC1CC(O)C(C#N)C(N(C)C(C)C(C)(C)C)C1
LogP,Please modify the molecule CCOc1cc(C=C2SC(=O)N(CC(=O)Nc3ccccc3OC)C2=O)ccc1OC(C)C to decrease its LogP value.,COc1ccccc1NC(=O)CN1C(=O)SC(=Cc2ccc(OC(C)C)c(OCCO)c2)C1=O
MR,Please modify the molecule CCN(C)C(=O)CNc1nc(Br)cs1 to decrease its MR value.,Cc1csc2c(C)cc(CC(=O)[O-])cc12
QED,Modify the molecule CC1CCC(C#N)C(N(C)C(C)C(C)(C)C)C1 to increase its QED value.,CC1CC(O)C(C#N)C(N(C)C(C)C(C)(C)C)C1
LogP,Please optimize the molecule CN(C(N)=O)c1cccc(C(O)CC[NH3+])c1 to have a lower LogP value.,CN(C(N)=O)C(O)CC[NH3+]
MR,Modify the molecule Cc1cc(CC(=O)[O-])cc2c(CBr)csc12 to decrease its MR value.,CCn1c(C)nnc1C1CC(NC(=O)Cn2nc3ccccc3n2)C1
QED,Please optimize the molecule NC(Nc1ccc2[nH]c3c(c2c1)CC1(O)C2Cc4ccc(O)c5c4C1(CC[NH+]2CC1CC1)C3O5)=[NH+]CCCNC(=O)CNC(=O)CNC(=O)CCC(=O)NCC(=O)NCC(=O)NC1CC2Oc3c(O)ccc4c3C23CC[NH+](CC2CC2)C(C4)C3(O)C1 to have a lower QED value.,NC(Nc1ccc2[nH]c3c(c2c1)CC1(C(=O)[OH])C2Cc4ccc(O)c5c4C1(CC[NH+]2CC1CC1)C3O5)=[NH+]CCCNC(=O)CNC(=O)CNC(=O)CCC(=O)NCC(=O)NCC(=O)NC1CC2Oc3c(O)ccc4c3C23CC[NH+](CC2CC2)C(C4)C3(O)C1
LogP,Optimize the molecule C=C(CC)CNc1ncncc1Cl to have a lower LogP value.,Cc1cc2ccccc2nc1CCOC1CC[NH2+]CC1
MR,Modify the molecule CCn1c(CO)nnc1C1CC(NC(=O)Cn2nc3ccccc3n2)C1 to decrease its MR value.,COc1ccc(C[NH2+]C(C)C2CCOC2)cc1S
QED,Optimize the molecule CC1CC(C)OP(=O)(Oc2ccc(Br)cc2)O1 to have a lower QED value.,CC1CC(C)OP(=O)(Oc2ccccc2)O1
LogP,Please optimize the molecule Cc1cc2ccccc2nc1NCCOC1CC[NH2+]CC1 to have a higher LogP value.,Nc1ccc(-c2csc(C(COc3ccccc3F)c3ccccc3)n2)cc1
MR,Please modify the molecule COc1ccc(C[NH2+]C(C)C2CCOC2)cc1C#N to increase its MR value.,COc1ccc(C[NH2+]C(C)C2CCOC2)cc1S
QED,Modify the molecule CC(C)CC(=O)N1CCC(CS(C)(=O)=O)CC1 to decrease its QED value.,CC1(C)CCC(CS(C)(=O)=O)CC1
LogP,Modify the molecule Nc1ccc(-c2csc(CCOc3ccccc3F)n2)cc1 to increase its LogP value.,Nc1ccc(-c2csc(C(COc3ccccc3F)c3ccccc3)n2)cc1
MR,Please optimize the molecule C=CCn1c(C)cc(C(=O)COC(=O)c2cc(S(N)(=O)=O)ccc2F)c1C to have a higher MR value.,COCCOc1cc2ncnc(-c3ccc(OCc4cccc(OC)c4)c(C4=CC(=O)C=CC4=O)c3)c2cc1OC
QED,Please modify the molecule COCCSc1nnc(NC(=O)Cc2ccc(Br)cc2)s1 to increase its QED value.,COCCSc1nnc(NC(=O)Cc2ccccc2)s1
LogP,Please modify the molecule CNc1nc(-c2cc(F)cc(F)c2)nc2ccccc12 to decrease its LogP value.,CNc1nc(-c2cc(F)cc(F)c2)nc2cc(N)ccc12
MR,Please optimize the molecule COCCOc1cc2ncnc(Nc3ccc(OCc4cccc(OC)c4)c(C4=CC(=O)C=CC4=O)c3)c2cc1OC to have a lower MR value.,C#CCNC(=O)C(C#N)CC1SC(CCNNC(=O)C[NH+]2CCC(C)CC2)C(=O)N1CC
QED,Modify the molecule Cn1cc(S(=O)(=O)NCC(O)(c2ccoc2)c2cccs2)cn1 to have a lower QED value.,Cn1cc(S(=O)(=O)NCC(O)(c2ccoc2)c2sccc2-c2ccccc2)cn1
LogP,Modify the molecule CCc1sc(C(=O)OCC(=O)NCc2cc(OC)c(OC)c(OC)c2)cc1C to have a higher LogP value.,CCc1sc(C(=O)OC(C(=O)NCc2cc(OC)c(OC)c(OC)c2)c2ccccc2)cc1C
MR,Please modify the molecule C#CCNC(=O)C(C#N)CC1SC(CCNc2cccc(NC(=O)C[NH+]3CCC(C)CC3)c2)C(=O)N1CC to decrease its MR value.,C#CCNC(=O)C(C#N)CC1SC(CCNNC(=O)C[NH+]2CCC(C)CC2)C(=O)N1CC
QED,Please modify the molecule CC(O)CC1CCC[NH+]1Cc1ccccc1Cl to decrease its QED value.,CC1(C#N)CCC(C(=O)NCC2(CCl)CCCCC2)CC1
LogP,Modify the molecule CCOC(=O)CCCCCOc1ccc(Cl)cc1N to decrease its LogP value.,CC1C[NH+](Cc2oc3cc(-c4ccccc4)ccc3c2C[NH3+])CCO1
MR,Modify the molecule CC(C(=O)[O-])(C(=O)c1ccc(OCC2COc3ccccc3O2)cc1)c1cccc2[nH]ccc12 to decrease its MR value.,CC(C(=O)[O-])(C(=O)OCC1COc2ccccc2O1)c1cccc2[nH]ccc12
QED,Please optimize the molecule CC1CCC(C(=O)NCC2(CCl)CCCCC2)CC1 to have a higher QED value.,CC1(C#N)CCC(C(=O)NCC2(CCl)CCCCC2)CC1
LogP,Please optimize the molecule CC1C[NH+](Cc2oc3ccccc3c2C[NH3+])CCO1 to have a higher LogP value.,CC1C[NH+](Cc2oc3cc(-c4ccccc4)ccc3c2C[NH3+])CCO1
MR,Modify the molecule CNc1cnc(C[NH+]2CCN(C)C(C)C2)cn1 to decrease its MR value.,Cc1cnc(C[NH+]2CCN(C)C(C)C2)cn1
QED,Please modify the molecule CCc1ccc(C[NH2+]Cc2ccc(O)c(Br)c2)s1 to decrease its QED value.,CCc1ccc(C[NH2+]COBr)s1
LogP,Please optimize the molecule C=C(C)CCC(O)c1cc(C)nn1C to have a higher LogP value.,C=C(C)CCCc1cc(C)nn1C
MR,Please optimize the molecule CC(CC(N)=O)N(C)C(=O)OC(C)(C)C to have a lower MR value.,CCN(C)C(=O)OC(C)(C)C
QED,Please modify the molecule CCCC1[NH2+]C(CC)N(CCCC[NH+](C)C(C)C)C1=O to decrease its QED value.,CCCC1[NH2+]C(CC)N(CCCC[NH+](C)C(C)Cc2ccccc2)C1=O
LogP,Please modify the molecule Nc1cc(I)c(F)cc1Nc1cc(F)cc(F)c1 to decrease its LogP value.,N#Cc1cc(N)c(Nc2cc(F)cc(F)c2)cc1F
MR,Please optimize the molecule COc1ccc(OC)c(S(=O)(=O)N2CCOC(C[NH3+])C2)c1 to have a higher MR value.,COc1ccc(OC)c(S(=O)(=O)N2CC(C[NH3+])OCC2c2ccccc2)c1
QED,Modify the molecule COc1ccc(-c2cc(CCl)c(C(F)(F)F)o2)cc1F to have a higher QED value.,COc1ccc(-c2cc(CNO)c(C(F)(F)F)o2)cc1F
LogP,Modify the molecule O=C(COc1ccc(Cl)cc1)Nc1ccc(S(=O)(=O)Nc2cccc3ccccc23)cc1 to have a lower LogP value.,Cc1cc(C#N)c(C(Br)c2cccc(C)c2I)cc1Br
MR,Modify the molecule COCc1nc(Cl)cc(Oc2cc(F)ccc2Br)n1 to decrease its MR value.,C=c1[nH]n(-c2ccc(S(=O)(=O)O)cc2)c(=O)c1=Cc1ccc(N(C)C)cc1
QED,Please optimize the molecule CCOC(=O)CCC(=O)N1CC(=O)NC(=O)C1CC to have a higher QED value.,CCOC(=O)CC(C(=O)N1CC(=O)NC(=O)C1CC)c1ccccc1
LogP,Modify the molecule Cc1cc(Br)c(C(Br)c2cccc(C)c2I)cc1Br to decrease its LogP value.,Cc1cc(C#N)c(C(Br)c2cccc(C)c2I)cc1Br
MR,Modify the molecule C=c1[nH]n(-c2ccc(S(=O)(=O)ON)cc2)c(=O)c1=Cc1ccc(N(C)C)cc1 to have a lower MR value.,C=c1[nH]n(-c2ccc(S(=O)(=O)O)cc2)c(=O)c1=Cc1ccc(N(C)C)cc1
QED,Optimize the molecule CC(=O)Nc1ccc(F)c(O)c1C=O to have a lower QED value.,CC[NH+](C)CCOc1ccc(-n2ccc(OCc3ccc(C#N)cn3)cc2=O)cc1
LogP,Please modify the molecule O=C1CNc2nnc3c4c(C(F)(F)F)cccc4nc-3n21 to decrease its LogP value.,O=C1CNc2nnc3c4c(C(F)(F)S)cccc4nc-3n21
MR,Please modify the molecule Cc1nn(C)c(C)c1NC(=O)COC(=O)c1cc([N+](=O)[O-])ccc1N1CCCC1 to decrease its MR value.,Cc1nn(C)c(C)c1OC(=O)c1cc([N+](=O)[O-])ccc1N1CCCC1
QED,Optimize the molecule CC[NH+](C)CCOc1ccc(-n2ccc(OCc3ccc(Cl)cn3)cc2=O)cc1 to have a higher QED value.,CC[NH+](C)CCOc1ccc(-n2ccc(OCc3ccc(C#N)cn3)cc2=O)cc1
LogP,Please modify the molecule CCCc1nc(Br)cc(N2CCC(C)(O)CC2)n1 to increase its LogP value.,CC1(O)CCN(c2cc(Br)nc(CCCc3ccccc3)n2)CC1
MR,Optimize the molecule COc1ccc(C2=CC(=O)C(Br)Oc3c2cc(OC)c(OC)c3OC)cc1OSC to have a lower MR value.,COc1ccccc1C(C(=O)[OH])(c1ccccc1OC)C([NH3+])c1ccccc1
QED,Please modify the molecule CC1=C(C(O)CCC(=Cc2cc(Br)ccc2O)c2ccccc2)C(CO)C2C(=O)N(C3CCCCC3)C(=O)C2C1 to decrease its QED value.,COc1cccc(-c2cc(-c3ccccc3)nc(SC(C)C(=O)Nc3ccc(C(=O)C=Cc4cccs4)cc3)c2I)c1
LogP,Modify the molecule Cc1nn(-c2ccncc2)cc1CN1CCCc2[nH]ncc21 to have a higher LogP value.,CCCCc1ccc(S(=O)(=O)c2cc(CCCOC)nn2-c2ccccc2C)cc1
MR,Modify the molecule COc1ccccc1C(O)(c1ccccc1OC)C([NH3+])c1ccccc1 to have a higher MR value.,COc1ccccc1C(C(=O)[OH])(c1ccccc1OC)C([NH3+])c1ccccc1
QED,Modify the molecule COc1cccc(-c2cc(-c3ccccc3)nc(SC(C)C(=O)Nc3ccc(C(=O)C=Cc4cccs4)cc3)c2C#N)c1 to decrease its QED value.,CC1CCC(C[NH3+])NC1C
LogP,Modify the molecule CCCCc1ccc(S(=O)(=O)Nc2cc(CCCOC)nn2-c2ccccc2C)cc1 to have a higher LogP value.,CCCCc1ccc(S(=O)(=O)c2cc(CCCOC)nn2-c2ccccc2C)cc1
MR,Modify the molecule C=C(O)c1sc(-c2ccccc2)cc1N(C(=C)C1CCC(C)CC1)C(C)C[NH3+] to decrease its MR value.,C=Cc1sc(-c2ccccc2)cc1N(C(=C)C1CCC(C)CC1)C(C)C[NH3+]
QED,Modify the molecule CC1CCC(C[NH3+])N(CC(N)=O)C1C to decrease its QED value.,CC(=O)c1ccc(CC[NH2+]C2CC([NH3+])C2)cc1
LogP,Modify the molecule COc1ccc(Br)c(C(=O)N2CCCN(S(=O)(=O)c3cnn(C)c3)CC2)c1 to increase its LogP value.,COc1ccc(Br)c(C(=O)N2CCCN(S(=O)(=O)c3cnn(C)c3)CC2c2ccccc2)c1
MR,Please modify the molecule C[Si](C)(C)OP(=O)(OCO)OCOP(=O)(OCO)O[Si](C)(C)C to decrease its MR value.,COc1ccc(N2CCN(c3ccc4ccccc4n3)CC2)cc1
QED,Optimize the molecule [NH3+]C1CC([NH2+]CCc2ccc(F)cc2)C1 to have a lower QED value.,CN1CC(C[NH2+]C2CC2)c2ccccc21
LogP,Optimize the molecule CCCC(CCC)C(=O)NCc1ccc2c(cnn2-c2ccccc2F)c1 to have a higher LogP value.,CSc1cc(NCC2CC(Cl)CC2N)ncn1
MR,Optimize the molecule COc1ccc(N2CCN(c3ccc4ccccc4n3)CC2)cc1F to have a higher MR value.,COc1ccc(N2CCN(c3ccc4ccccc4n3)CC2)cc1
QED,Modify the molecule CN1CCN(C(=O)CC[NH2+]C2CC2)c2ccccc21 to decrease its QED value.,CN1CC(C[NH2+]C2CC2)c2ccccc21
LogP,Optimize the molecule CSc1cc(NCC2CCC(Cl)C2)ncn1 to have a lower LogP value.,CSc1cc(NCC2CC(Cl)CC2N)ncn1
MR,Optimize the molecule Clc1cc(Cl)cc([N+]2=Cc3cccc4ccn(c34)C2)c1 to have a lower MR value.,Oc1cc(Cl)cc([N+]2=Cc3cccc4ccn(c34)C2)c1
QED,Optimize the molecule C=C=C(F)C(F)C(F)(C(F)(F)F)C(F)(F)F to have a higher QED value.,C=C=C(F)C(F)C(F)(C(F)F)C(F)(F)F
LogP,Please optimize the molecule CCCOc1ccc(C2=C(O)C(=O)N(c3ccc(C(C)C)c(C)c3)C2c2ccc(C(=O)OC)cc2)cc1OC to have a higher LogP value.,CCCOc1ccc(C2=C(O)C(=O)N(c3ccc(C(C)C)c(C)c3)C2c2ccc(C(=O)OC)cc2)cc1OCc1ccccc1
MR,Please optimize the molecule O=C(NNC(=S)Nc1ccc(OC(F)F)cc1)c1ccc(F)cc1 to have a higher MR value.,O=C(NNC(=S)Nc1ccc(OC(O)F)cc1)c1ccc(F)cc1
QED,Modify the molecule O=C(NCc1ccccc1)C(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)Cc1ccccc1 to have a higher QED value.,O=C(NC(Cc1ccccc1)C(O)c1ccccc1)C(Cc1ccccc1)Cc1ccccc1
LogP,Optimize the molecule Cc1ccc(C#CC[NH3+])c(C(=O)NCc2ccncc2)c1 to have a higher LogP value.,O=C([O-])c1ccccc1OCCN1CC[NH+](Cc2cccnc2-c2ccc(Cl)cc2)CC1c1ccccc1
MR,Optimize the molecule Cc1sc(N(Cc2ccc(Cl)c(Cl)c2)c2ccc(C#N)cc2)nc1C(=O)NS(C)(=O)=O to have a lower MR value.,Cc1sc(N(Cc2ccc(C#N)c(Cl)c2)c2ccc(C#N)cc2)nc1C(=O)NS(C)(=O)=O
QED,Optimize the molecule CCC(Nc1ccccc1C)(C(N)=O)c1ccc(F)cc1 to have a lower QED value.,BrOc1nc(-c2ccncc2)nc2ccccc12
LogP,Optimize the molecule O=C([O-])c1ccccc1OCCN1CC[NH+](Cc2cccnc2-c2ccc(Cl)cc2)CC1 to have a higher LogP value.,O=C([O-])c1ccccc1OCCN1CC[NH+](Cc2cccnc2-c2ccc(Cl)cc2)CC1c1ccccc1
MR,Please modify the molecule CN(CC(=O)NCc1ccco1)c1ccccc1 to increase its MR value.,CN(CC(=O)NC(CC=O)c1ccco1)c1ccccc1
QED,Please modify the molecule Brc1cccc(Oc2nc(-c3ccncc3)nc3ccccc23)c1 to increase its QED value.,BrOc1nc(-c2ccncc2)nc2ccccc12
LogP,Optimize the molecule CC=CC(=O)OCc1cc(C)ccc1-c1ccc(OCCO)cc1 to have a higher LogP value.,CC=CC(=O)OCc1cc(C)ccc1-c1ccc(OCCS)cc1
MR,Modify the molecule Cc1cccc(NC(=O)CN2C(=O)NC(=Cc3ccc(-c4ccc(C(=O)[O-])c(Cl)c4)o3)C2=O)c1 to decrease its MR value.,Cc1cccc(NC(=O)CN2C(=O)NC(=Cc3ccc(-c4ccc(C(=O)[O-])cc4)o3)C2=O)c1
QED,Please optimize the molecule COc1cc(N(C)C(=O)Nc2cccc(Cl)c2)ccc1C(=O)NCCN1CC[NH+](Cc2ccccc2)CC1 to have a lower QED value.,COc1cc(N(C)C(=O)Nc2cccc(C(=O)[OH])c2)ccc1C(=O)NCCN1CC[NH+](Cc2ccccc2)CC1
LogP,Please optimize the molecule COc1cccc(C2=NC(C(C)C)[NH2+]C(c3ccccc3O)C2)c1 to have a higher LogP value.,CC(=O)NC1CCN(S(=O)(=O)c2ccccc2O)CC1
MR,Please optimize the molecule COC(=O)Cc1cccccccccc(C2OC(COCc3ccccc3)C(OCc3ccccc3)C(OCc3ccccc3)C2OCc2ccccc2)ccc1 to have a lower MR value.,COC(=O)Cc1cccccccccc(C2OC(COCc3ccccc3)C(OCc3ccccc3)C(OCc3ccccc3)C2OC)ccc1
QED,Please optimize the molecule CCOC(=O)N1CCN(C(=O)c2cc(N(C)c3ccccc3)ncn2)CC1 to have a higher QED value.,CC(=O)c1ccccc1C1CN(C(=O)CCCC)CCO1
LogP,Modify the molecule CC(=O)NC1CCN(S(=O)(=O)c2ccccc2Br)CC1 to decrease its LogP value.,CC(C)OCCCNC(=O)C1CC[NH+](Cc2nc(C(C)(C)NC(=O)OC(C)(C)CN)no2)CC1
MR,Optimize the molecule CCOC(=O)c1ccc(OC2(F)C(F)(F)C(F)(F)C2(F)Oc2ccc(C(=O)OCC)cc2)cc1 to have a lower MR value.,CCOC(=O)c1ccc(OC2C(F)(F)C(F)(F)C2(F)Oc2ccc(C(=O)OCC)cc2)cc1
QED,Modify the molecule CCCCC(=O)N1CCOC(c2ccccc2Cl)C1 to decrease its QED value.,CC(=O)c1ccccc1C1CN(C(=O)CCCC)CCO1
LogP,Modify the molecule CC(C)OCCCNC(=O)C1CC[NH+](Cc2nc(C(C)(C)NC(=O)OC(C)(C)C)no2)CC1 to decrease its LogP value.,CC(C)OCCCNC(=O)C1CC[NH+](Cc2nc(C(C)(C)NC(=O)OC(C)(C)CN)no2)CC1
MR,Please optimize the molecule OC1=CC=C2C(=CC=Cc3cc(O)ccc32)C1 to have a lower MR value.,Oc1ccc2c(c1)C=CC=C1CC=CC=C12
QED,Please modify the molecule OCC1CCC2Sc3ncnc(NC4CCC([NH+]5CCOCC5)CC4)c3C2C1 to decrease its QED value.,O=C(c1cccc(Cl)c1)N1CCCc2ccccc21
LogP,Modify the molecule O=C(c1ccco1)N1CCC2C(CCC(=O)N2Cc2cccc(F)c2)C1 to have a lower LogP value.,O=C(c1ccco1)N1CCC2C(CCC(=O)N2Cc2ccccc2)C1
MR,Optimize the molecule O=C([O-])C=Cc1cccc(CSc2ncccn2)c1 to have a higher MR value.,O=C([O-])C=Cc1cccc(C(Sc2ncccn2)c2ccccc2)c1
QED,Please optimize the molecule Nc1cc(Cl)cc(C(=O)N2CCCc3ccccc32)c1 to have a lower QED value.,O=C(c1cccc(Cl)c1)N1CCCc2ccccc21
LogP,Modify the molecule C[NH+]=C(NCCCC(=O)N1Cc2ccccc2C1)NC1CCN(CC(F)(F)F)C1 to decrease its LogP value.,C[NH+]=C(NCCCC(=O)N1Cc2ccccc2C1)NC1CCN(CC(F)F)C1
MR,Modify the molecule Cc1cc(N=Nc2c(SOOO)cc3c(S(=O)(=O)[O-])c(N=Nc4c(C)c(C(N)=O)c5nc6ccccc6n5c4O)ccc3c2O)c(OCCCS(=O)(=O)[O-])cc1N=Nc1nnc(SCCSOOO)s1 to increase its MR value.,Cc1cc(N=Nc2c(SOONO)cc3c(S(=O)(=O)[O-])c(N=Nc4c(C)c(C(N)=O)c5nc6ccccc6n5c4O)ccc3c2O)c(OCCCS(=O)(=O)[O-])cc1N=Nc1nnc(SCCSOOO)s1
QED,Please modify the molecule CC1(C)c2ccccc2-c2ccc(Nc3ccc(-c4cccc5c4oc4ccccc45)cc3)cc21 to decrease its QED value.,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4cccc5c4oc4ccccc45)cc3)cc21
LogP,Please modify the molecule CCCCCN(CCCCC)C(=O)c1ccn2nc(-c3ccc(OC)cc3)c(CCC[NH+]3CCCCC3)c2c1 to decrease its LogP value.,CCCCCN(CCCCC)C(=O)c1ccn2nc(-c3ccc(OC)c(C(=O)O)c3)c(CCC[NH+]3CCCCC3)c2c1
MR,Please modify the molecule CCC[NH+](CCC)CCOc1cc(NC(=O)C=Cc2c(F)cccc2F)ccc1OC to increase its MR value.,CCC[NH+](CCC)CCOc1cc(NC(=O)C=Cc2c(F)cccc2NO)ccc1OC
QED,Please modify the molecule CCOC(=O)c1c(NC(=O)COC(=O)CN2C(=O)C(=O)c3cc(Br)ccc32)sc2c1CCCC2 to increase its QED value.,CCOC(=O)c1c(NC(=O)COC(=O)CN2C(=O)C(=O)c3ccccc32)sc2c1CCCC2
LogP,Optimize the molecule Cc1cc(NC(=O)c2sc(Nc3cccc(F)c3)nc2C)ccc1Br to have a higher LogP value.,Cc1cc(NC(=O)c2sc(Nc3cccc(S)c3)nc2C)ccc1Br
MR,Please optimize the molecule CCc1ccc2occ(CC(=O)Nc3ccncc3)c2c1 to have a higher MR value.,CCc1ccc2occ(CC(=O)Nc3ccncc3)c2c1-c1ccccc1
